Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
The Gallaudet Dictionary of American Sign Language,"Created by an unparalleled board of experts led by renowned ASL linguist and poet Clayton Valli, The Gallaudet Dictionary of American Sign Language contains over 3,000 illustrations. Each sign illustration, including depictions of fingerspelling when appropriate, incorporates a complete list of English synonyms. A full, alphabetized English index enables users to cross-reference words and signs throughout the entire volume. The comprehensive introduction lays the groundwork for learning ASL by explaining in plain language the workings of ASL syntax and structure. It also offers examples of idioms and describes the antecedents of ASL, its place in the Deaf community, and its meaning in Deaf culture. This extraordinary reference also provides a special section on ASL classifiers and their use. Readers will find complete descriptions of the various classifiers and examples of how to use these integral facets of ASL. The Gallaudet Dictionary of American Sign Language is an outstanding ASL reference for all instructors, students, and users of ASL. *Please note that this paperback edition does not include the DVD found in the hardcover edition.",['Clayton Valli'],http://books.google.com/books/content?id=kIaNzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=kIaNzgEACAAJ&dq=The+Gallaudet+Dictionary+of+American+Sign+Language&hl=&cd=1&source=gbs_api,Gallaudet University Press,2021-08-24,http://books.google.com/books?id=kIaNzgEACAAJ&dq=The+Gallaudet+Dictionary+of+American+Sign+Language&hl=&source=gbs_api,['Education'],
Sourdough Jack presents Sourdough Jack's cookery & other things & more,,['Jack Mabee'],http://books.google.com/books/content?id=_rtQAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=_rtQAQAAIAAJ&dq=Sourdough+Jack+presents+Sourdough+Jack%27s+cookery&hl=&cd=1&source=gbs_api,,1975,http://books.google.com/books?id=_rtQAQAAIAAJ&dq=Sourdough+Jack+presents+Sourdough+Jack%27s+cookery&hl=&source=gbs_api,['Baking'],
The Rebels,"By one of the most profoundly influential thinkers of our century, The Rebel is a classic essay on revolution. For Albert Camus, the urge to revolt is one of the ""essential dimensions"" of human nature, manifested in man's timeless Promethean struggle against the conditions of his existence, as well as the popular uprisings against established orders throughout history. And yet, with an eye toward the French Revolution and its regicides and deicides, he shows how inevitably the course of revolution leads to tyranny. As old regimes throughout the world collapse, The Rebel resonates as an ardent, eloquent, and supremely rational voice of conscience for our tumultuous times. Translated from the French by Anthony Bower.",['Albert Camus'],http://books.google.com/books/content?id=t_3yQrhdxwUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=t_3yQrhdxwUC&printsec=frontcover&dq=The+Rebels&hl=&cd=1&source=gbs_api,Vintage,2012-09-19,https://play.google.com/store/books/details?id=t_3yQrhdxwUC&source=gbs_api,['Philosophy'],12.0
"Language, Ideology and Point of View (Interface)","This systematic introduction to the concept of point of view in language explores the ways in which point of view intersects with and is shaped by ideology. It specifically focuses on the way in which speakers and writers linguistically encode their beliefs, interests and biases in a wide range of media. The book draws on an extensive array of linguistic theories and frameworks and each chapter includes a self-contained introduction to a particular topic in linguistics, allowing easy reference. The author uses examples from a variety of literary and non-literary text types such as, narrative fiction, advertisements and newspaper reports.",['Paul Simpson'],http://books.google.com/books/content?id=3kWIAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=3kWIAgAAQBAJ&printsec=frontcover&dq=Language,+Ideology+and+Point+of+View+(Interface)&hl=&cd=1&source=gbs_api",Routledge,2003-09-02,https://play.google.com/store/books/details?id=3kWIAgAAQBAJ&source=gbs_api,['Language Arts & Disciplines'],
On Racine,,['Roland Barthes'],http://books.google.com/books/content?id=Y91cAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Y91cAAAAMAAJ&q=On+Racine&dq=On+Racine&hl=&cd=1&source=gbs_api,Olympic Marketing Corporation,1983,http://books.google.com/books?id=Y91cAAAAMAAJ&dq=On+Racine&hl=&source=gbs_api,['Fiction'],
Murdock's Acid Test,,['George Harmon Coxe'],,http://books.google.com/books?id=fr7zzAEACAAJ&dq=Murdock%27s+Acid+Test&hl=&cd=1&source=gbs_api,,1947,http://books.google.com/books?id=fr7zzAEACAAJ&dq=Murdock%27s+Acid+Test&hl=&source=gbs_api,['Popular literature'],
The Hippie Dictionary,"Whether you lived through the sixties and seventies or just wish you had, this revised and expanded edition of the Hippie Dictionary entertains as much as it educates. Cultural and political listings such as ""Age of Aquarius,"" ""Ceasar Chavez,"" and ""Black Power Movement,"" plus popular phrases like ""acid flashback,"" ""get a grip,"" and ""are you for real?"" will remind you of how revolutionary those 20 years were. Although the hippie era spans two decades beginning with the approval of the birth control pill in 1960 and ending with the death of John Lennon in 1980, it wasn't all about sex, drugs, and rock'n' roll. These were the early years of pro-ecology and anti-capitalist beliefs-beliefs that are just as timely as ever. So kick back and trip out on the new entries as well as the old, and discover why some are dubbing the sixties and seventies ""the intellectual renaissance of the 20th century.""",['John Bassett Mccleary'],http://books.google.com/books/content?id=c487w9PuJOgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=c487w9PuJOgC&printsec=frontcover&dq=The+Hippie+Dictionary&hl=&cd=1&source=gbs_api,Ten Speed Press,2013-05-22,https://play.google.com/store/books/details?id=c487w9PuJOgC&source=gbs_api,['Social Science'],
One Hand Clapping,"Sometimes when I'm at work and waiting for customers I think about the two of us living like kings and not bothering about the future. Because there may not be any future to bother about, you know. Not for anybody, one of these days. And it's a wicked world. Average couple Janet and Howard's lives begin to unravel when Howard's photographic memory helps win him a gameshow fortune. Janet doesn't want their lives to change that much. She's quite happy working at the supermarket, cooking for her husband three times a day and watching quiz shows in the evening. But once Howard unleashes his photographic brain on the world, the once modest used-car salesman can't seem to stop. And what he sees as the logical conclusion to his success isn't something Janet can agree to. Burgess's 1961 darkly comic satire of drab English consumerism is adapted for the stage by Lucia Cox. This edition was published to coincide with the US premiere at the Brits Off-Broadway Festival, at 59E59 Theatre, New York, in May 2015.",['Anthony Burgess'],http://books.google.com/books/content?id=CBRpBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=CBRpBwAAQBAJ&printsec=frontcover&dq=One+Hand+Clapping&hl=&cd=1&source=gbs_api,Bloomsbury Publishing,2015-04-13,https://play.google.com/store/books/details?id=CBRpBwAAQBAJ&source=gbs_api,['Drama'],1.0
"Joseph Conrad ;: A study, (Studies of living writers by various writers)",,,http://books.google.com/books/content?id=trwxAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=trwxAQAAMAAJ&pg=PA710&dq=Joseph+Conrad+%3B:+A+study,+(Studies+of+living+writers+by+various+writers)&hl=&cd=1&source=gbs_api",,1918,https://play.google.com/store/books/details?id=trwxAQAAMAAJ&source=gbs_api,['Bibliography'],
Conformed To His Image,"What does a relationship with God look like and how do we obtain it? It is vital for church leaders to grapple seriously with this question, for pat answers no longer suffice. Lives well-lived, not just words eloquently spoken, must become our response. The quality of our relationship with God is what will influence the health, potency, and witness of the church in an increasingly complex and hostile world. Designed for use as a college or seminary course, Conformed to His Image helps us build our lives on a fully biblical perspective. Exploring twelve approaches to Christian spirituality in depth, Dr. Kenneth Boa corrects our tendency to pick and compartmentalize. Pointing the way instead to an integrative, whole-life approach, Dr. Boa shows how each spiritual paradigm discussed is just one important facet in the gem of authentic and powerful New Testament living. With chapter overviews and objectives, questions for personal application, a glossary, and a list of key terms, Conformed to His Image will prove a defining text for the student, pastor, and church leader of today . . . and tomorrow. 12 Facets of the Complete Christian Life Relational Spirituality: Loving God Completely, Ourselves Correctly, and Others Compassionately Paradigm Spirituality: Cultivating an Eternal versus a Temporal Perspective Disciplined Spirituality: Engaging in the Historical Differences Exchanged Life Spirituality: Grasping Our True Identity in Christ Motivated Spirituality: A Set of Biblical Incentives Devotional Spirituality: Falling in Love with God Holistic Spirituality: Every Component of Life under the Lordship of Christ Process Spirituality: Being versus Doing, Process versus Product Spirit-Filled Spirituality: Walking in the Power of the Spirit Warfare Spirituality: The World, the Flesh, and the Devil Nurturing Spirituality: A Lifestyle of Discipleship and Evangelism Corporate Spirituality: Encouragement, Accountability, and Worship",['Kenneth D. Boa'],http://books.google.com/books/content?id=zQoFsNMsPtcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=zQoFsNMsPtcC&printsec=frontcover&dq=Conformed+To+His+Image&hl=&cd=1&source=gbs_api,Zondervan Academic,2009-12-15,http://books.google.com/books?id=zQoFsNMsPtcC&dq=Conformed+To+His+Image&hl=&source=gbs_api,['Religion'],8.0
